Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-Sep-16,EQ,"1,057.00","1,058.80","1,040.00","1,058.80","1,041.00","1,042.55","1,048.92","1,279.30","1,009.10","26,02,647","2,72,99,60,271.05","57,629"
22-Sep-16,EQ,"1,059.00","1,061.00","1,052.00","1,055.75","1,061.00","1,058.80","1,057.37","1,279.30","1,009.10","18,14,757","1,91,88,61,654.10","80,240"
21-Sep-16,EQ,"1,054.00","1,061.25","1,051.05","1,050.15","1,057.40","1,055.75","1,056.37","1,279.30","1,009.10","21,15,766","2,23,50,39,197.55","68,813"
20-Sep-16,EQ,"1,053.30","1,057.15","1,045.75","1,061.20","1,052.00","1,050.15","1,049.18","1,279.30","1,009.10","21,07,002","2,21,06,15,656.30","90,429"
19-Sep-16,EQ,"1,046.00","1,068.90","1,041.35","1,060.15","1,060.60","1,061.20","1,061.60","1,279.30","1,009.10","29,04,577","3,08,34,88,888.05","70,094"
16-Sep-16,EQ,"1,049.00","1,064.50","1,038.10","1,042.20","1,055.65","1,060.15","1,054.92","1,279.30","1,009.10","49,74,692","5,24,78,99,728.35","98,707"
15-Sep-16,EQ,"1,045.60","1,046.80","1,035.35","1,045.60","1,044.90","1,042.20","1,039.10","1,279.30","1,009.10","23,50,861","2,44,27,80,873.80","53,602"
14-Sep-16,EQ,"1,053.95","1,057.80","1,040.65","1,054.00","1,044.95","1,045.60","1,051.80","1,279.30","1,009.10","25,76,209","2,70,96,59,227.30","79,152"
12-Sep-16,EQ,"1,025.25","1,058.00","1,025.25","1,035.50","1,055.00","1,054.00","1,052.85","1,279.30","1,009.10","31,01,548","3,26,54,70,606.55","1,04,493"
09-Sep-16,EQ,"1,037.00","1,041.00","1,026.55","1,037.65","1,036.00","1,035.50","1,033.89","1,279.30","1,009.10","25,26,719","2,61,23,43,989.90","96,783"
08-Sep-16,EQ,"1,045.00","1,045.00","1,024.00","1,054.35","1,038.75","1,037.65","1,033.47","1,279.30","1,009.10","45,46,387","4,69,85,42,573.25","1,08,004"
07-Sep-16,EQ,"1,048.00","1,059.00","1,044.00","1,045.00","1,049.85","1,054.35","1,052.97","1,279.30","1,009.10","37,12,735","3,90,93,93,157.00","1,03,327"
06-Sep-16,EQ,"1,038.25","1,048.90","1,035.60","1,031.85","1,046.00","1,045.00","1,044.90","1,279.30","1,009.10","41,07,522","4,29,19,68,460.15","1,05,919"
02-Sep-16,EQ,"1,039.05","1,040.00","1,026.20","1,037.55","1,030.00","1,031.85","1,032.75","1,279.30","1,009.10","16,66,296","1,72,08,72,549.85","67,456"
01-Sep-16,EQ,"1,038.00","1,040.45","1,032.00","1,035.85","1,037.00","1,037.55","1,036.28","1,279.30","1,009.10","14,38,913","1,49,11,12,695.30","48,366"
31-Aug-16,EQ,"1,037.10","1,045.75","1,027.80","1,040.40","1,033.85","1,035.85","1,037.31","1,279.30","1,009.10","55,69,907","5,77,77,32,670.55","1,31,672"
30-Aug-16,EQ,"1,032.45","1,045.00","1,025.00","1,022.80","1,040.25","1,040.40","1,035.23","1,279.30","1,009.10","21,87,719","2,26,47,85,515.55","76,218"
29-Aug-16,EQ,"1,017.60","1,030.00","1,011.00","1,020.25","1,029.05","1,022.80","1,018.39","1,279.30","1,009.10","26,10,141","2,65,81,42,523.15","1,37,001"
26-Aug-16,EQ,"1,036.00","1,046.00","1,017.05","1,036.15","1,019.70","1,020.25","1,028.03","1,279.30","1,009.10","34,40,527","3,53,69,57,213.15","1,44,271"
25-Aug-16,EQ,"1,055.00","1,057.60","1,032.10","1,057.40","1,036.90","1,036.15","1,041.32","1,279.30","1,009.10","23,98,281","2,49,73,89,786.35","67,028"
24-Aug-16,EQ,"1,047.00","1,062.05","1,047.00","1,039.65","1,055.15","1,057.40","1,056.00","1,279.30","1,009.10","30,64,983","3,23,66,33,964.30","1,18,286"
23-Aug-16,EQ,"1,020.10","1,042.00","1,020.10","1,015.45","1,039.95","1,039.65","1,033.85","1,279.30","1,009.10","37,03,069","3,82,84,22,614.50","1,35,014"
22-Aug-16,EQ,"1,018.00","1,030.00","1,009.10","1,021.30","1,015.90","1,015.45","1,014.33","1,279.30","1,009.10","51,26,759","5,20,02,00,615.85","1,84,159"
19-Aug-16,EQ,"1,030.00","1,039.00","1,018.45","1,023.40","1,022.15","1,021.30","1,026.81","1,279.30","1,011.25","28,43,008","2,91,92,22,195.20","1,32,229"
18-Aug-16,EQ,"1,036.50","1,039.10","1,021.50","1,033.30","1,023.00","1,023.40","1,028.77","1,279.30","1,011.25","42,17,000","4,33,83,43,575.35","1,13,563"
17-Aug-16,EQ,"1,049.95","1,052.65","1,030.50","1,051.80","1,034.40","1,033.30","1,037.78","1,279.30","1,011.25","32,99,658","3,42,43,34,724.10","1,34,252"
16-Aug-16,EQ,"1,042.00","1,058.05","1,028.00","1,062.55","1,052.20","1,051.80","1,046.71","1,279.30","1,011.25","82,14,704","8,59,83,74,851.95","1,77,774"
12-Aug-16,EQ,"1,075.05","1,078.80","1,060.00","1,077.35","1,061.60","1,062.55","1,069.52","1,279.30","1,011.25","37,24,964","3,98,39,11,354.55","1,16,371"
11-Aug-16,EQ,"1,081.70","1,095.00","1,075.25","1,082.35","1,078.75","1,077.35","1,081.51","1,279.30","1,011.25","25,19,276","2,72,46,33,994.65","68,282"
10-Aug-16,EQ,"1,076.00","1,087.90","1,075.20","1,083.40","1,079.95","1,082.35","1,080.96","1,279.30","1,011.25","27,88,227","3,01,39,68,178.90","72,781"
09-Aug-16,EQ,"1,077.00","1,084.50","1,071.50","1,078.70","1,080.40","1,083.40","1,079.81","1,279.30","1,011.25","35,96,332","3,88,33,65,579.75","79,692"
08-Aug-16,EQ,"1,069.00","1,081.00","1,062.55","1,068.00","1,074.40","1,078.70","1,074.88","1,279.30","1,011.25","23,21,532","2,49,53,74,579.65","86,035"
05-Aug-16,EQ,"1,072.00","1,073.45","1,060.00","1,071.80","1,065.05","1,068.00","1,066.86","1,279.30","1,011.25","28,04,984","2,99,25,34,285.90","98,969"
04-Aug-16,EQ,"1,086.40","1,086.90","1,070.05","1,084.90","1,071.45","1,071.80","1,074.90","1,279.30","1,011.25","21,18,639","2,27,73,31,567.30","64,592"
03-Aug-16,EQ,"1,085.65","1,086.50","1,070.30","1,083.80","1,085.00","1,084.90","1,078.92","1,279.30","1,011.25","36,06,730","3,89,13,73,601.20","93,756"
02-Aug-16,EQ,"1,079.90","1,085.00","1,075.00","1,085.25","1,085.00","1,083.80","1,079.83","1,279.30","1,011.25","34,11,251","3,68,35,61,727.00","74,776"
01-Aug-16,EQ,"1,071.50","1,087.85","1,068.35","1,073.85","1,086.00","1,085.25","1,078.19","1,279.30","1,011.25","45,48,331","4,90,39,63,865.40","84,226"
29-Jul-16,EQ,"1,072.60","1,076.75","1,066.50","1,077.50","1,075.00","1,073.85","1,073.14","1,279.30","1,011.25","40,78,392","4,37,66,87,907.80","96,309"
28-Jul-16,EQ,"1,085.40","1,086.95","1,074.05","1,085.35","1,077.00","1,077.50","1,078.63","1,279.30","1,011.25","56,29,281","6,07,19,12,465.30","84,046"
27-Jul-16,EQ,"1,084.70","1,096.50","1,078.55","1,088.70","1,084.00","1,085.35","1,085.13","1,279.30","1,011.25","37,15,910","4,03,22,29,605.95","65,130"
26-Jul-16,EQ,"1,070.35","1,089.90","1,070.35","1,080.85","1,086.05","1,088.70","1,085.65","1,279.30","1,011.25","35,94,805","3,90,26,94,859.50","60,846"
25-Jul-16,EQ,"1,063.00","1,083.25","1,063.00","1,072.45","1,079.40","1,080.85","1,075.57","1,279.30","1,011.25","42,34,776","4,55,48,02,179.35","97,327"
22-Jul-16,EQ,"1,070.00","1,079.90","1,066.70","1,079.90","1,074.50","1,072.45","1,070.52","1,279.30",987.4,"46,93,269","5,02,42,44,656.10","93,296"
21-Jul-16,EQ,"1,079.00","1,087.20","1,075.60","1,083.10","1,080.10","1,079.90","1,079.65","1,279.30",987.4,"43,34,001","4,67,91,93,730.50","1,30,542"
20-Jul-16,EQ,"1,070.00","1,089.90","1,070.00","1,086.95","1,083.50","1,083.10","1,081.83","1,279.30",987.4,"49,11,448","5,31,33,69,528.70","1,04,095"
19-Jul-16,EQ,"1,088.60","1,090.00","1,074.10","1,081.95","1,088.00","1,086.95","1,082.75","1,279.30",987.4,"52,02,322","5,63,28,01,598.95","1,78,219"
18-Jul-16,EQ,"1,077.25","1,084.90","1,055.15","1,072.55","1,081.00","1,081.95","1,072.00","1,279.30",987.4,"71,66,412","7,68,23,61,812.05","2,40,953"
15-Jul-16,EQ,"1,189.50","1,189.90","1,052.00","1,176.25","1,070.80","1,072.55","1,085.37","1,279.30",934.05,"3,07,42,063","33,36,65,91,097.85","7,07,440"
14-Jul-16,EQ,"1,195.00","1,196.05","1,164.00","1,193.80","1,177.65","1,176.25","1,179.62","1,279.30",934.05,"37,06,664","4,37,24,39,897.20","1,02,739"
13-Jul-16,EQ,"1,180.00","1,195.80","1,175.20","1,176.55","1,192.30","1,193.80","1,186.15","1,279.30",934.05,"26,37,710","3,12,87,27,245.60","73,207"
12-Jul-16,EQ,"1,180.00","1,180.35","1,168.00","1,175.05","1,176.00","1,176.55","1,174.18","1,279.30",934.05,"30,98,684","3,63,84,03,710.90","90,016"
11-Jul-16,EQ,"1,167.40","1,178.70","1,160.00","1,158.20","1,173.75","1,175.05","1,169.68","1,279.30",934.05,"33,34,441","3,90,02,42,644.00","97,975"
08-Jul-16,EQ,"1,163.00","1,167.00","1,153.50","1,157.25","1,161.95","1,158.20","1,161.28","1,279.30",932.65,"27,75,824","3,22,35,20,902.80","1,23,336"
07-Jul-16,EQ,"1,168.70","1,171.00","1,155.00","1,175.45","1,160.00","1,157.25","1,159.93","1,279.30",932.65,"29,77,438","3,45,36,31,860.30","1,31,833"
05-Jul-16,EQ,"1,185.00","1,187.50","1,171.05","1,183.95","1,174.00","1,175.45","1,176.77","1,279.30",932.65,"17,98,208","2,11,60,84,017.95","61,330"
04-Jul-16,EQ,"1,176.20","1,194.60","1,176.20","1,172.40","1,185.00","1,183.95","1,186.25","1,279.30",932.65,"26,90,661","3,19,17,92,274.85","97,976"
01-Jul-16,EQ,"1,180.00","1,180.00","1,170.10","1,170.80","1,171.05","1,172.40","1,174.40","1,279.30",932.65,"19,95,956","2,34,40,42,644.50","83,613"
30-Jun-16,EQ,"1,180.50","1,184.50","1,167.95","1,176.85","1,171.90","1,170.80","1,173.73","1,279.30",932.65,"46,73,112","5,48,49,81,719.00","1,17,143"
29-Jun-16,EQ,"1,169.00","1,179.90","1,160.20","1,159.15","1,177.00","1,176.85","1,169.63","1,279.30",932.65,"27,29,575","3,19,25,94,353.45","91,172"
28-Jun-16,EQ,"1,162.80","1,172.50","1,155.10","1,166.20","1,158.95","1,159.15","1,161.08","1,279.30",932.65,"38,27,987","4,44,45,86,239.30","1,40,277"
27-Jun-16,EQ,"1,172.05","1,183.20","1,160.00","1,194.55","1,165.05","1,166.20","1,170.54","1,279.30",932.65,"27,91,889","3,26,80,27,324.15","95,815"
24-Jun-16,EQ,"1,188.00","1,199.00","1,160.00","1,211.60","1,191.20","1,194.55","1,187.02","1,279.30",932.65,"39,04,174","4,63,43,22,656.05","80,878"
23-Jun-16,EQ,"1,197.30","1,214.85","1,193.35","1,199.50","1,210.75","1,211.60","1,203.62","1,279.30",932.65,"19,14,313","2,30,41,05,634.50","1,02,672"
22-Jun-16,EQ,"1,204.00","1,211.95","1,188.15","1,206.10","1,197.35","1,199.50","1,199.49","1,279.30",932.65,"15,15,629","1,81,79,88,768.65","52,549"
21-Jun-16,EQ,"1,211.20","1,214.80","1,195.65","1,208.75","1,206.50","1,206.10","1,204.61","1,279.30",932.65,"23,80,862","2,86,80,13,851.20","57,770"
20-Jun-16,EQ,"1,181.00","1,211.80","1,179.70","1,179.50","1,207.00","1,208.75","1,199.39","1,279.30",932.65,"31,14,783","3,73,58,47,753.55","84,105"
17-Jun-16,EQ,"1,189.00","1,192.75","1,175.10","1,186.00","1,179.45","1,179.50","1,179.51","1,279.30",932.65,"42,57,541","5,02,18,28,421.25","84,979"
16-Jun-16,EQ,"1,189.50","1,189.50","1,170.10","1,189.95","1,186.30","1,186.00","1,179.61","1,279.30",932.65,"26,51,282","3,12,74,77,049.30","96,066"
15-Jun-16,EQ,"1,183.70","1,192.65","1,179.05","1,175.00","1,189.55","1,189.95","1,184.11","1,279.30",932.65,"33,55,786","3,97,36,10,804.60","97,170"
14-Jun-16,EQ,"1,182.40","1,182.40","1,167.25","1,180.90","1,176.00","1,175.00","1,173.27","1,279.30",932.65,"14,70,364","1,72,51,36,289.95","76,094"
13-Jun-16,EQ,"1,176.80","1,184.90","1,166.00","1,180.60","1,180.00","1,180.90","1,176.48","1,279.30",932.65,"26,43,361","3,10,98,55,382.85","92,827"
10-Jun-16,EQ,"1,175.40","1,190.00","1,170.10","1,185.50","1,181.00","1,180.60","1,180.30","2,044.75",932.65,"31,91,978","3,76,74,82,480.75","1,12,385"
09-Jun-16,EQ,"1,226.25","1,226.25","1,180.05","1,238.10","1,187.00","1,185.50","1,191.98","2,044.75",932.65,"63,70,402","7,59,33,81,453.55","1,69,983"
08-Jun-16,EQ,"1,263.95","1,263.95","1,235.35","1,257.40","1,237.00","1,238.10","1,242.80","2,044.75",932.65,"43,70,685","5,43,18,92,699.45","1,13,032"
07-Jun-16,EQ,"1,267.00","1,272.50","1,255.10","1,266.75","1,256.00","1,257.40","1,263.86","2,044.75",932.65,"28,46,210","3,59,71,99,328.75","74,826"
