Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Aug-24,EQ,516,523.2,513.7,516.25,520,519.75,519.73,579.9,375.05,"57,33,281","2,97,97,56,757.55","79,050"
16-Aug-24,EQ,501,517.45,497.95,495.15,516.1,516.25,510.99,579.9,375.05,"1,29,65,570","6,62,52,67,335.55","1,47,094"
14-Aug-24,EQ,493,496.85,490.45,490.5,495.7,495.15,493.14,579.9,375.05,"55,60,878","2,74,23,02,149.55","81,615"
13-Aug-24,EQ,489.05,492.7,487.15,489.05,490.4,490.5,490.35,579.9,375.05,"31,44,709","1,54,20,11,528.55","55,702"
12-Aug-24,EQ,491.55,494,487.4,491.3,489.5,489.05,490.3,579.9,375.05,"36,69,234","1,79,90,07,178.15","53,159"
09-Aug-24,EQ,495.35,496.45,489.65,487.3,492,491.3,492.02,579.9,375.05,"30,32,974","1,49,22,75,333.25","58,877"
08-Aug-24,EQ,494,494,486.35,497.4,488.05,487.3,489.34,579.9,375.05,"65,80,285","3,22,00,17,618.30","1,18,284"
07-Aug-24,EQ,498.7,500.1,492.65,489.5,498.1,497.4,496.66,579.9,375.05,"35,39,913","1,75,81,26,813.20","73,879"
06-Aug-24,EQ,489.75,499.35,486.6,485,490,489.5,493.38,579.9,375.05,"56,35,792","2,78,05,65,321.75","1,03,575"
05-Aug-24,EQ,490,495.85,480.25,502.15,485.4,485,486.81,579.9,375.05,"1,09,69,040","5,33,98,44,298.25","2,09,255"
02-Aug-24,EQ,515,519.25,501,521.55,502,502.15,508.74,579.9,375.05,"78,26,114","3,98,14,44,687.60","1,82,307"
01-Aug-24,EQ,523,526.8,517.5,522,521.3,521.55,522.2,579.9,375.05,"53,79,876","2,80,93,61,657.05","81,748"
31-Jul-24,EQ,521.8,524.9,519.45,521.5,521,522,522.01,579.9,375.05,"38,79,254","2,02,50,00,532.85","78,311"
30-Jul-24,EQ,524.4,526.95,519.75,524.4,521.7,521.5,522.32,579.9,375.05,"54,08,263","2,82,48,20,422.60","69,751"
29-Jul-24,EQ,528,530.55,522.85,524.8,524.35,524.4,525.97,579.9,375.05,"60,05,777","3,15,88,76,664.85","85,064"
26-Jul-24,EQ,510,528.55,508.5,506.85,524.5,524.8,520.77,579.9,375.05,"1,30,76,998","6,81,01,08,396.20","1,76,213"
25-Jul-24,EQ,496,507.5,493.3,500.1,507.5,506.85,502.96,579.9,375.05,"1,09,43,945","5,50,43,98,301.85","1,61,155"
24-Jul-24,EQ,502.5,506.35,499.85,500.55,500.5,500.1,502.64,579.9,375.05,"61,20,138","3,07,62,14,876.15","1,05,843"
23-Jul-24,EQ,508,508,486.35,505.8,500.6,500.55,499.94,579.9,375.05,"1,29,23,816","6,46,10,87,870.90","2,24,589"
22-Jul-24,EQ,521,526.75,501.55,557.2,505.35,505.8,510.51,579.9,375.05,"3,80,07,284","19,40,31,65,698.85","4,86,533"
19-Jul-24,EQ,579.9,579.9,554.7,573.2,557,557.2,564.95,579.9,375.05,"1,32,61,745","7,49,22,08,987.85","1,73,832"
18-Jul-24,EQ,556.55,574.4,556.35,559.7,573.2,573.2,567.26,574.4,375.05,"1,25,09,893","7,09,63,65,104.00","2,50,266"
16-Jul-24,EQ,561.85,562.6,556.4,559.7,559.5,559.7,559.14,566.9,375.05,"56,19,531","3,14,21,08,459.55","1,38,520"
15-Jul-24,EQ,566.9,566.9,556.15,560.15,561,559.7,560.79,566.9,375.05,"80,49,739","4,51,42,04,271.20","1,37,790"
12-Jul-24,EQ,545,564.8,541.55,534.1,559,560.15,555.57,564.8,375.05,"2,70,93,021","15,05,20,05,876.20","2,98,553"
11-Jul-24,EQ,536.7,539.55,530,535.55,535.9,534.1,533.65,548.8,375.05,"44,03,809","2,35,00,85,273.95","1,00,387"
10-Jul-24,EQ,541,543.35,531.75,541,534.5,535.55,536.48,548.8,375.05,"46,16,874","2,47,68,64,488.70","74,450"
09-Jul-24,EQ,544,544.95,537.6,541.2,541,541,540.76,548.8,375.05,"43,40,722","2,34,72,84,220.55","74,512"
08-Jul-24,EQ,535.95,543,535,535.1,542.2,541.2,540.02,548.8,375.05,"60,88,180","3,28,77,39,222.20","1,21,678"
05-Jul-24,EQ,531.35,536.5,529.45,530.7,534.9,535.1,533.34,548.8,375.05,"51,88,045","2,76,70,05,678.25","1,04,240"
04-Jul-24,EQ,541.4,548.8,529.1,539,532.25,530.7,537.46,548.8,375.05,"97,62,316","5,24,68,59,994.65","1,27,355"
03-Jul-24,EQ,541.9,545.45,535.5,538.2,539.2,539,540.19,545.9,375.05,"80,24,692","4,33,48,52,225.60","1,12,117"
02-Jul-24,EQ,529.3,545,528.3,527.35,538.35,538.2,538.33,545.9,375.05,"1,81,38,484","9,76,44,57,855.70","2,31,000"
01-Jul-24,EQ,517.9,535.8,514.1,514.85,527.2,527.35,528.84,545.9,375.05,"1,53,78,764","8,13,29,28,198.00","2,57,497"
28-Jun-24,EQ,512,516.3,505.85,510.8,513.8,514.85,512.44,545.9,375.05,"82,02,916","4,20,34,97,643.45","1,17,062"
27-Jun-24,EQ,492.15,511.95,489.2,495.2,510.5,510.8,505.59,545.9,375.05,"2,10,68,569","10,65,20,92,506.85","2,25,180"
26-Jun-24,EQ,496.85,499.9,493.8,496.85,494.5,495.2,495.95,545.9,375.05,"64,06,045","3,17,70,96,996.05","1,13,867"
25-Jun-24,EQ,490.55,498,489.3,490.55,497,496.85,493.94,545.9,375.05,"46,29,105","2,28,64,80,802.15","79,008"
24-Jun-24,EQ,490.1,494.9,489.45,490.55,490.8,490.55,491.78,545.9,375.05,"49,67,259","2,44,27,84,735.70","73,973"
21-Jun-24,EQ,497.95,500.95,489.1,490.4,491.6,490.55,491.89,545.9,375.05,"4,75,85,588","23,40,66,56,808.25","2,03,465"
20-Jun-24,EQ,497.5,497.5,488.25,495.75,491,490.4,491.98,545.9,375.05,"62,85,563","3,09,23,91,359.80","1,08,929"
19-Jun-24,EQ,492.25,497.15,486.75,491.85,495.25,495.75,492.61,545.9,375.05,"1,04,40,142","5,14,29,23,763.65","1,23,262"
18-Jun-24,EQ,481,493,480.05,477.5,491.55,491.85,490.22,545.9,375.05,"1,59,35,492","7,81,19,45,829.15","2,42,174"
14-Jun-24,EQ,485,485.6,476.2,482.6,477.15,477.5,478.63,545.9,375.05,"56,61,298","2,70,96,81,807.50","1,34,137"
13-Jun-24,EQ,480,485.35,478.15,476.9,482,482.6,482.91,545.9,375.05,"64,97,966","3,13,79,28,794.05","1,10,667"
12-Jun-24,EQ,478,484.4,475.55,476.05,477,476.9,479.94,545.9,375.05,"69,37,558","3,32,96,20,700.95","1,45,168"
11-Jun-24,EQ,479.2,479.2,474.35,475.25,475.55,476.05,476.76,545.9,375.05,"46,85,857","2,23,40,07,039.35","67,351"
10-Jun-24,EQ,488.4,488.4,473.35,484.55,475.45,475.25,477.61,545.9,375.05,"91,55,876","4,37,28,96,775.65","1,28,553"
07-Jun-24,EQ,470,486.4,468.3,461,484,484.55,482.16,545.9,375.05,"3,63,36,220","17,51,99,72,023.15","3,73,790"
06-Jun-24,EQ,454.95,462,452.6,451.5,461.6,461,458.2,545.9,375.05,"77,12,784","3,53,39,82,927.80","1,50,107"
05-Jun-24,EQ,439.7,455,439.05,438.15,451.5,451.5,449.65,545.9,375.05,"61,33,714","2,75,80,21,848.90","1,23,575"
04-Jun-24,EQ,445.9,445.9,417,444.1,439.7,438.15,436.08,545.9,375.05,"88,65,366","3,86,59,79,968.35","1,67,269"
03-Jun-24,EQ,450.2,450.55,441.55,438.2,444.5,444.1,444.23,545.9,375.05,"44,82,212","1,99,11,12,467.95","88,057"
31-May-24,EQ,437.55,442.15,435.5,436.95,439,438.2,438.75,545.9,375.05,"1,07,19,002","4,70,29,21,093.70","1,63,674"
30-May-24,EQ,449,449.5,435.1,450.8,438.2,436.95,440.23,545.9,375.05,"1,03,62,284","4,56,17,74,444.70","1,95,003"
29-May-24,EQ,454,455.5,449.5,456.05,450,450.8,451.95,545.9,375.05,"48,78,018","2,20,46,35,542.80","73,341"
28-May-24,EQ,454,457.25,453.1,452.45,455,456.05,455.59,545.9,375.05,"78,89,063","3,59,41,58,781.55","52,387"
27-May-24,EQ,462,462.15,451.6,463.65,453.6,452.45,454.36,545.9,375.05,"2,04,91,879","9,31,07,12,901.05","2,91,324"
24-May-24,EQ,467,470.5,462,465.8,462.15,463.65,466.89,545.9,375.05,"41,02,763","1,91,55,33,447.20","69,778"
23-May-24,EQ,462.5,468,461.75,461.3,465.85,465.8,465.85,545.9,375.05,"65,85,666","3,06,79,41,496.35","1,09,706"
22-May-24,EQ,462.9,463.45,458.85,460.9,461.35,461.3,460.99,545.9,375.05,"38,82,942","1,78,99,85,123.85","75,978"
21-May-24,EQ,463,464.8,459.7,462.55,460.6,460.9,461.91,545.9,375.05,"42,33,724","1,95,56,15,977.05","91,428"
18-May-24,EQ,460.7,463.15,459.15,461,462.8,462.55,462.14,545.9,375.05,"4,39,806","20,32,51,846.75","9,611"
17-May-24,EQ,464.4,464.4,460.05,464.45,461.15,461,461.45,545.9,375.05,"34,38,410","1,58,66,41,333.00","69,648"
16-May-24,EQ,462,467.5,456.1,458.3,464,464.45,462.22,545.9,375.05,"73,10,736","3,37,91,92,091.65","1,99,329"
15-May-24,EQ,456.35,459.75,454.65,456.35,458.5,458.3,457.55,545.9,375.05,"23,96,712","1,09,66,19,531.35","51,332"
14-May-24,EQ,452.7,459.9,452.2,451.95,457,456.35,456.06,545.9,375.05,"24,54,710","1,11,95,04,487.65","50,943"
13-May-24,EQ,451.85,453.25,445,451.85,452.7,451.95,449.32,545.9,375.05,"35,55,804","1,59,76,91,210.15","70,590"
10-May-24,EQ,456.05,457.5,450.3,455.9,451.75,451.85,453.02,545.9,375.05,"33,27,357","1,50,73,74,022.85","87,956"
09-May-24,EQ,461.75,464.4,454.05,463.2,454.95,455.9,459.15,545.9,375.05,"46,16,742","2,11,97,64,605.60","1,05,541"
08-May-24,EQ,465,466.4,461.3,463.9,462.55,463.2,463.75,545.9,375.05,"41,02,840","1,90,26,96,372.00","71,059"
07-May-24,EQ,461.8,465.35,454,458.65,464.65,463.9,460.84,545.9,375.05,"46,39,264","2,13,79,62,667.10","88,701"
06-May-24,EQ,458.8,462.6,456,457.35,458.6,458.65,459.91,545.9,375.05,"34,59,063","1,59,08,42,471.05","63,782"
03-May-24,EQ,460.4,462,453.2,457.4,455.95,457.35,457.47,545.9,375.05,"48,65,313","2,22,57,49,257.65","1,08,000"
02-May-24,EQ,462.4,463,455.45,462.4,457.8,457.4,457.79,545.9,375.05,"74,68,638","3,41,90,53,761.55","1,70,531"
30-Apr-24,EQ,463,466.75,461.5,462.95,462.4,462.4,463.91,545.9,375.05,"44,51,478","2,06,50,64,238.45","72,568"
29-Apr-24,EQ,467.65,468,461.6,464.6,463.3,462.95,463.59,545.9,375.05,"36,24,970","1,68,04,89,736.85","68,000"
26-Apr-24,EQ,461.9,475.8,461.6,461,465.15,464.6,469.2,545.9,370.55,"1,07,39,147","5,03,88,08,647.80","1,69,644"
25-Apr-24,EQ,458.9,462.55,455.8,459.9,461.65,461,460.46,545.9,370.55,"59,02,545","2,71,79,00,740.60","1,11,925"
24-Apr-24,EQ,463.9,464.65,458.6,462.1,460.95,459.9,461.58,545.9,370.55,"29,57,584","1,36,51,54,814.05","58,214"
23-Apr-24,EQ,466.8,466.8,460.2,462,461.5,462.1,463.14,545.9,370.55,"51,61,356","2,39,04,45,963.45","72,015"
22-Apr-24,EQ,452.75,466.15,450,452.75,461.95,462,461.45,545.9,370.55,"94,40,870","4,35,64,93,004.90","1,18,309"
19-Apr-24,EQ,440,453.9,437,444.35,452.1,452.75,446.76,545.9,352,"1,02,35,053","4,57,26,53,452.85","1,51,723"
18-Apr-24,EQ,452.5,455.45,442.85,448.35,445.2,444.35,448.85,545.9,352,"1,09,93,129","4,93,43,08,716.40","1,86,058"
16-Apr-24,EQ,453.05,458.5,444.8,459.35,449,448.35,451.53,545.9,352,"1,07,19,712","4,84,02,73,621.50","1,70,099"
