Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
16-Mar-17,EQ,364,365.6,359.1,363.2,360.6,360.65,360.71,401,283.05,"24,07,103","86,82,68,433.60","34,944"
15-Mar-17,EQ,360,366.15,356.2,361.1,362.2,363.2,361.76,401,283.05,"66,60,091","2,40,93,58,847.25","58,200"
14-Mar-17,EQ,366,369.8,358.6,364.9,362.25,361.1,361.53,401,283.05,"53,36,687","1,92,93,65,490.20","60,722"
10-Mar-17,EQ,360.85,366.5,359.95,360.2,364.9,364.9,363.52,401,283.05,"20,90,743","76,00,23,113.40","30,286"
09-Mar-17,EQ,359.85,361.9,356.65,360.7,361.6,360.2,359.82,401,283.05,"11,75,441","42,29,47,616.55","27,462"
08-Mar-17,EQ,360.2,364.1,358.5,361.1,360.3,360.7,361.02,401,283.05,"27,25,867","98,41,00,226.00","40,179"
07-Mar-17,EQ,361,362.45,356.35,361.5,360.2,361.1,359.91,401,283.05,"28,58,176","1,02,86,94,255.95","41,770"
06-Mar-17,EQ,360,364,357.2,356.15,361.15,361.5,360.49,401,283.05,"29,76,688","1,07,30,65,173.70","42,418"
03-Mar-17,EQ,356.85,361.5,353.3,356.85,356.4,356.15,356.52,401,283.05,"36,24,580","1,29,22,27,676.45","47,942"
02-Mar-17,EQ,364,366,352.2,362.75,355.35,356.85,359.34,401,283.05,"41,97,805","1,50,84,49,610.45","61,040"
01-Mar-17,EQ,368.55,368.85,361.45,365.15,362.7,362.75,363.2,401,283.05,"34,48,583","1,25,25,22,366.30","36,066"
28-Feb-17,EQ,357,373.1,356.4,355.7,368.55,365.15,362.76,401,283.05,"1,21,56,357","4,40,98,90,539.35","1,28,765"
27-Feb-17,EQ,367,367.45,352.55,366.25,356.6,355.7,358.03,401,283.05,"90,82,281","3,25,17,44,517.20","98,141"
23-Feb-17,EQ,371,401,363.7,361,366.4,366.25,378.59,401,283.05,"3,56,00,168","13,47,78,87,308.70","2,91,167"
22-Feb-17,EQ,362.9,372.5,359.1,362.85,361.8,361,364.31,385,283.05,"67,87,592","2,47,27,99,105.70","1,12,015"
